measure,correct_label,label,message
TN,ham,ham,got ltgt
TN,ham,ham,good donÃ»t need receiptsÃ»Ã³well done yes please tell whatÃ»s number could ring
TN,ham,ham,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt
TN,ham,ham,leave wif lar Ã¬Ã¯ wan carry meh heavy da num familiar
TN,ham,ham,beautiful truth expression face could seen everyone depression heart could understood loved ones gud
TN,ham,ham,infact happy new year seeing
FN,spam,ham,simpsons movie released july name band died start film agreen day bblue day cred day send b c
TN,ham,ham,thats shame maybe cld meet hrs tomo
TN,ham,ham,lol would despite cramps like girl
TN,ham,ham,canÃ¥Ãµt wait cornwall hope tonight isnÃ¥Ãµt bad well itÃ¥Ãµs rock night shite anyway iÃ¥Ãµm going kip good night speak soon
TN,ham,ham,pls help tell sura im expecting battery hont pls send message download movies thanks
TP,spam,spam,please call amanda regard renewing upgrading current tmobile handset free charge offer ends today tel subject ts cs
TN,ham,ham,havent found way get another app phone eh go net cafe take job geeee need babe crave see
TN,ham,ham,work mon thurs sat cant leh booked liao day u free
TN,ham,ham,Ã¬Ã¯ comin fetch us oredi
TN,ham,ham,whats nannys address
TP,spam,spam,urgent costa del sol holiday await collection call toclaim sae tc stockport
TN,ham,ham,haf u eaten wat time u wan come
TP,spam,spam,want new video phone anytime network mins half price line rental free text months reply call free delivery
TN,ham,ham,yo call get chance friend mine wanted ask big order
TN,ham,ham,single single answers fighting plus said broke didnt reply
TN,ham,ham,certainly puts things perspective something like happens
TN,ham,ham,got tv watch meh u work today
TN,ham,ham,felt sonot conveying reason ese
TP,spam,spam,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
TN,ham,ham,hows going got exciting karaoke type activities planned im debating whether play football eve feeling lazy though
TN,ham,ham,told coming wednesday
TN,ham,ham,ok called mom instead fun
TP,spam,spam,dear voucher holder claim weeks offer pc please go httpwwwwtlpcouktext tscs apply
TN,ham,ham,well im desperate ill call armand
TN,ham,ham,work right
TP,spam,spam,congrats nokia video camera phone call calls cost ave call vary mobiles close post ldn
TN,ham,ham,havent heard anything hes answering texts im guessing flaked said jb fantastic
TN,ham,ham,mmmmmm love youso much ahmad cant wait year begin every second takes closer side happy new year love
TN,ham,ham,pls whats full name jokes school cos fees university florida seem actually ltgt k pls holla back
TN,ham,ham,sorry ill call later
TN,ham,ham,ok said ive got wisdom teeth hidden inside n mayb need remove
TN,ham,ham,pls pls drink plenty plenty water
TN,ham,ham,hows queen going royal wedding
TN,ham,ham,hes lag thats sad part keep touch thanks skype
TN,ham,ham,ok lor go tog lor
TN,ham,ham,two teams waiting players
TN,ham,ham,send copy da report
TN,ham,ham,swhrt u deyhope ur ok tot u n misstake care
TN,ham,ham,ok da already planned wil pick
TP,spam,spam,urgent please call abta complimentary spanish holiday cash await collection sae tcs box
TN,ham,ham,sorry ill call later meeting
TN,ham,ham,really need shit tomorrow know wont awake like
TN,ham,ham,im good registered vote
TN,ham,ham,hmm ok ill stay like hour cos eye really sore
TN,ham,ham,dear got bus directly calicut
TN,ham,ham,mm umma ask vava also come tell play later together
TN,ham,ham,well general price ltgt oz let know ifwhenhow much want
TN,ham,ham,sorry ill call later
TN,ham,ham,moment dayhas valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish u find todaygood morning
TN,ham,ham,ltgt w jetton ave forgot
TN,ham,ham,ok im coming home
TN,ham,ham,use foreign stamps country
TP,spam,spam,double mins txts free bluetooth orange available sony nokia motorola phones call
TN,ham,ham,sorry lot friendofafriend stuff im talk actual guy wants buy
TP,spam,spam,free week nokia tone ur mob every week txt nokia get txting tell ur mates wwwgetzedcouk pobox
TP,spam,spam,want funk ur fone weekly new tone reply text wwwringtonescouk original n best tones network operator rates apply
TP,spam,spam,cmon babe make horny turn txt fantasy babe im hot sticky need replies cost cancel send stop
TN,ham,ham,come tomorrow di
TN,ham,ham,wylie update weed dealer carlos went freedom class lunsford
TN,ham,ham,happy baby alright take job hope fine send kiss make smile across sea kiss kiss
TN,ham,ham,c movie juz last minute decision mah juz watch lar tot interested
TN,ham,ham,enjoying semester take care brother
TP,spam,spam,important information orange user today ur lucky find log onto httpwwwurawinnercom theres fantastic prizeawaiting
TN,ham,ham,get door im
TN,ham,ham,lets use next week princess
TN,ham,ham,go home first lar wait lor put stuff first
TN,ham,ham,want kfc tuesday buy meals gravy mark
TN,ham,ham,dahe stupid daalways sending like thisdon believe messagepandy mental
TN,ham,ham,oi gon na ring
FN,spam,ham,missed call alert numbers called left message
TN,ham,ham,attended nothing
TN,ham,ham,ard like dat lor juz meet mrt station dun haf come
TN,ham,ham,dear sleeping p
TN,ham,ham,er mw im filled tuth aight
TN,ham,ham,office around pm going hospital
TN,ham,ham,actually im waiting weeks start putting ad
TN,ham,ham,anything lor go go lor
TN,ham,ham,u free sat rite u wan watch infernal affairs wif n darren n mayb xy
TN,ham,ham,plz note anyone calling mobile co amp asks u type ltgt ltgt disconnect callcoz iz attempt terrorist make use sim card itz confirmd nokia n motorola n verified cnn ibn
TN,ham,ham,yo around friend mines lookin pick later tonight
TN,ham,ham,stupid auto correct phone
TN,ham,ham,double eviction week spiral michael good riddance
TN,ham,ham,world suffers lot violence bad people silence good people
TN,ham,ham,ok thats cool either raglan rd edward rd behind cricket ground gim ring ur closeby see tuesday
TN,ham,ham,buy one egg daplease
TN,ham,ham,started skye
TN,ham,ham,bookedthe hut also time way
TN,ham,ham,several sir
TN,ham,ham,u really pig leh sleep much dad wake smth eat lunch today
TN,ham,ham,im home please call
TN,ham,ham,love hope anything drastic dont dare sell pc phone
TN,ham,ham,reached home tired come tomorro
TP,spam,spam,freemsg records indicate may entitled pounds accident claim free reply yes msg opt text stop
TP,spam,spam,u win music gift vouchers every week starting txt word draw tscs wwwidewcom skillgame
TN,ham,ham,life style garments account please
TN,ham,ham,lol wtf random btw lunch break
TN,ham,ham,sez hows u de arab boy hope u r good give love love ya eshxxxxxxxxxxx
TN,ham,ham,lay man let know missed thought great day send bimbo ugos numbers ill appreciate safe
TN,ham,ham,detroit home snow enjoy
TP,spam,spam,show ur colours euro offer get england flag tone ur phone click following service message info
TN,ham,ham,okie
TN,ham,ham,aight im chillin friends room text youre way
TN,ham,ham,toshiba portege gd
TN,ham,ham,well welp sort semiobscure internet thing
TP,spam,spam,text pass collect polyphonic ringtones normal gprs charges apply enjoy tones
TP,spam,spam,accordingly repeat text word ok mobile phone send
TN,ham,ham,loosu go hospital de dont let careless
TN,ham,ham,much eighth
TN,ham,ham,omg joanna freaking shes looked thru friends find photos shes asking stuff myspace havent even logged like year
TN,ham,ham,send ur birthdate month year tel u ur life partners name method calculation reply must
TN,ham,ham,juz havent woke bit blur blur dad went liao cant cum oso
TN,ham,ham,clothes jewelry trips
FN,spam,ham,block breaker comes deluxe format new features great graphics tmobile buy replying get bbdeluxe take challenge
TN,ham,ham,aah cuddle would lush id need lots tea soup kind fumbling
TP,spam,spam,important information orange user today lucky log onto httpwwwurawinnercom theres fantastic surprise awaiting
TN,ham,ham,late
TN,ham,ham,sad story man last week bday wife didnt wish parents forgot n kids went work even colleagues wish
TN,ham,ham,plans family set stone
TN,ham,ham,pls dont forget study
TN,ham,ham,youll never believe actually got taunton wow
TN,ham,ham,den weekdays got special price haiz cant eat liao cut nails oso muz wait finish drivin wat lunch still muz eat wat
TN,ham,ham,broke list reasons nobodys town cant tell shes sarcastic faggy
TN,ham,ham,ltdecimalgt common car better buy china asia find less expensive ill holla
TN,ham,ham,greatest test courage earth bear defeat without losing heartgn tc
TN,ham,ham,sorry im stil fucked last nite went tobed got work
TN,ham,ham,hey whats plan sat
TN,ham,ham,beauty sleep help ur pimples
TN,ham,ham,great hope using connections mode men also cos never know old friends lead today
TP,spam,spam,natalja inviting friend reply see stop send stop frnd
TN,ham,ham,get
TN,ham,ham,kind missed train cos asthma attack nxt one half hr driving sure park
TN,ham,ham,ball moving lotwill spin last difficult bat
TN,ham,ham,haiyoh maybe hamster jealous million
TN,ham,ham,please send auntys number
TN,ham,ham,im glad following dreams
TN,ham,ham,ive reached home finally
TP,spam,spam,urgent important information user today lucky day find log onto httpwwwurawinnercom fantastic surprise awaiting
TP,spam,spam,winner valued network customer selected receivea prize reward claim call claim code valid hours
TN,ham,ham,wn u r hurt prsn close u fight wit dem coz somtimes dis fight saves relation bt quiet leaves nothin relation gud eveb
TN,ham,ham,u call
TN,ham,ham,science tells chocolate melt sunlight please dont walk sunlight bcozi dont want loss sweet friend
TN,ham,ham,yes come nyc audiitions trying relocate
TN,ham,ham,pocked
TN,ham,ham,congrats thats great wanted tell tell score cos might make relax motivating thanks sharing
TN,ham,ham,wud never mind u dont miss u dont need u wil really hurt wen u need amp u dont tell take care
TN,ham,ham,hey mr whats name bill brison book one language words
TN,ham,ham,okay good problem thanx
TN,ham,ham,information ikea spelled caps yelling thought left sitting bed among mess came said going got home class please dont try bullshit makes want listen less
TN,ham,ham,call ure done
TN,ham,ham,gwr
TN,ham,ham,best watch say cause get drunk motherfucker
TP,spam,spam,kit strip billed netcollex ltd po box oja
TP,spam,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv
TP,spam,spam,please call immediately urgent message waiting
FN,spam,ham,thesmszonecom lets send free anonymous masked messagesim sending message theredo see potential abuse
TP,spam,spam,well done costa del sol holiday await collection call toclaim sae tcs stockport
TN,ham,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
TN,ham,ham,erm woodland avenue somewhere get parish magazine telephone number
TN,ham,ham,ta jobs available let know please cos really need start working
TN,ham,ham,aiyar hard type u later free tell call n scold n tell u
TN,ham,ham,yup im free
TN,ham,ham,good good billy mates gone jogging enjoy concert
TN,ham,ham,yo come carlos soon
TN,ham,ham,awww dat sweet think something nice time tonight ill probably txt u later cos im lonely xxx
TN,ham,ham,guess useless calling u something important
TN,ham,ham,ha ha popped loo helloed hello
TN,ham,ham,dint tell anything angry told abi
TP,spam,spam,someone u know asked dating service contact cant guess call revealed po
TN,ham,ham,happens r wat want come ill get medical insurance shell able deliver basic care im currently shopping right medical insurance give til friday morning thats ill see major person guide right insurance
TN,ham,ham,keep ten rs shelf buy two egg
TN,ham,ham,wasnt well babe swollen glands throat end
TN,ham,ham,ur changes da report big cos ive already made changes da previous report
TN,ham,ham,captain room
TN,ham,ham,cant speak bcaz mobile problem listen cannt listen voice calls later
TN,ham,ham,hiya stu wot u much truble home moment evone hates even u wot hell av done wont u tell text bck please luv dan
TN,ham,ham,si take mokka players
TN,ham,ham,still playing gautham
TN,ham,ham,hey mr going sea view couple gays mean games give bell ya finish
TN,ham,ham,k jason says hes gon na around ill around ltgt
TN,ham,ham,sorry able get see morning
TN,ham,ham,aight well keep informed
TN,ham,ham,number sir
TN,ham,ham,searching good dual sim mobile pa
TN,ham,ham,seems unnecessarily hostile
TN,ham,ham,dude got haircut breezy
TP,spam,spam,congrats mobile videophones r call videochat wid ur mates play java games dload polyh music noline rentl
TN,ham,ham,doctor leafdayno cancer fat milkdayno bone problms litres watrdayno diseases snd ths u care
TN,ham,ham,thought king hill thing
TN,ham,ham,nope ill come online
TN,ham,ham,also tell said happy birthday
TN,ham,ham,bishan lei tot say lavender
TN,ham,ham,boo time u get u supposed take shopping today
TN,ham,ham,u sound like manky scouse boy stevelike travelling da bus homewot u inmind recreation dis eve
TN,ham,ham,fyi im taking quick shower epsilon like ltgt min
TN,ham,ham,tuesday night r u real
TN,ham,ham,yes appt
TN,ham,ham,got outta class gon na go gym
TN,ham,ham,want sent ltgt mesages today thats sorry hurts
TN,ham,ham,Ã¬Ã¯ write wat
TN,ham,ham,ha wouldnt say didnt read anything way u seemed dont like judgementali save fridays pub
TN,ham,ham,valentine game send dis msg ur friends answers r someone really loves u ques colour suits best
TN,ham,ham,hidid asked waheeda fathima leave
TN,ham,ham,enjoy urself tmr
TN,ham,ham,still around could use
TP,spam,spam,u secret admirer looking make contact ufind rreveal thinks ur specialcall
TN,ham,ham,give us back id proof ltgt rs wont allow work come home within days
TN,ham,ham,Ã¬Ã¯ bot notes oredi cos juz rem got
TN,ham,ham,yes rent expensive way save
TN,ham,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng
TN,ham,ham,hows pain deary r u smiling
TN,ham,ham,fun fact although would think armand would eventually build tolerance shit considering much smokes gets fucked like hits
TP,spam,spam,important information orange user today lucky log onto httpwwwurawinnercom theres fantastic surprise awaiting
TN,ham,ham,sorry cant help
TN,ham,ham,great send account number
TN,ham,ham,hellogorgeous hows u fone charge lst nitw wen u texd hopeu ad nice wkend im sure u lookin cin u luv jaz
TP,spam,spam,dating service asked contact u someone shy call revealed
TN,ham,ham,Ã¬Ã¯ send contents page
TN,ham,ham,night sweet sleep well ive see exorcism emily rose may never sleep hugs snogs
TN,ham,ham,dont think u got think use got good
TN,ham,ham,cant right second got ta hit people first
TN,ham,ham,evry emotion dsnt hav wordsevry wish dsnt hav prayrs u smiled world wit uothrwise even drop tear dsnt lik stay wit uso b happy good morning keep smiling
TN,ham,ham,remember
TN,ham,ham,ujhhhhhhh computer shipped address sandiago parantella lane wtf poop
TN,ham,ham,mm yes dear look hugging p
TN,ham,ham,like dis sweater fr mango size already irritating
TN,ham,ham,dont number gon na massive pain ass id rather get involved thats possible
TN,ham,ham,anytime lor
TP,spam,spam,want new video handset time network mins unlimited text camcorder reply call del sat
TN,ham,ham,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng
FN,spam,ham,ur balance next question complete landmark big bob b barry c ben text b c good luck
TN,ham,ham,fineabsolutly fine
TN,ham,ham,k youre sure dont consent forms v
TP,spam,spam,ur tonexs subscription renewed charged choose polys month wwwclubzedcouk billing msg
TP,spam,spam,dont prize go another customer tc wwwtcbiz polo ltd suite london please call back busy
TN,ham,ham,much torch
TN,ham,ham,nothing u dinner w us
TN,ham,ham,checking
TN,ham,ham,done internet connection v slow canÃ»t send try later first thing tomo
TN,ham,ham,mathews tait edwards anderson
TN,ham,ham,yeah sure thing mate haunt got stuff sorted im going sound anyway promoting hex way dont know number joke
TN,ham,ham,need lar go engin cos sis arts today
TN,ham,ham,thanks honey still havent heard anything leave bit longer crowd try later great advice thanks hope cardiff still
TP,spam,spam,want new nokia colour phone delivered tomorrow free minutes mobile free text free camcorder reply call
TN,ham,ham,im snowboarding trip wondering planning get everyone together befor goa meet greet kind affair cheers
TN,ham,ham,sim watching live
TN,ham,ham,see christmassy
TN,ham,ham,k im ready ltgt
TN,ham,ham,know god created gap fingers one made comes amp fills gaps holding hand love
TN,ham,ham,greatest test courage earth bear defeat without losing heartgn tc
TN,ham,ham,new years plans
TP,spam,spam,recpt ordered ringtone order processed
TN,ham,ham,baaaaaaaabe wake miss crave need
TN,ham,ham,got message ignoring yes shopping
TN,ham,ham,dear mood cant drive brother drive
TN,ham,ham,dad get back
TN,ham,ham,tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rates new zealand
TN,ham,ham,yes finished watching days lives love
